0,1,idQ,idA
will covid stay and last forever,Speculation on the impact of COVID-19 .,406,0
will covid ever go away,Speculation on the impact of COVID-19 .,704,0
was covid predicted,Speculation on the impact of COVID-19 .,400,0
when covid will be over,Speculation on the impact of COVID-19 .,42,0
will covid be gone this year,Speculation on the impact of COVID-19 .,490,0
when will the covid virus end,Speculation on the impact of COVID-19 .,240,0
will covid be a problem next year,Speculation on the impact of COVID-19 .,682,0
will all jobs come back fast once the covid pandemic is over,Speculation on the impact of COVID-19 .,9,0
how long will we have to keep social distancing,Speculation on the impact of COVID-19 .,569,0
will covid end soon,Speculation on the impact of COVID-19 .,456,0
will covid come back,Speculation on the impact of COVID-19 .,281,0
will covid go away in spring,Speculation on the impact of COVID-19 .,181,0
when will covid end and covid 20 start,Speculation on the impact of COVID-19 .,674,0
will there be a second wave of the covid infection,Speculation on the impact of COVID-19 .,433,0
is covid likely to be at pandemic proportions for two years,Speculation on the impact of COVID-19 .,362,0
what is the official end date to covid,Speculation on the impact of COVID-19 .,1040,0
what would happen if we just let covid run its course and not practice social distancing,Speculation on the impact of COVID-19 .,371,0
will covid be gone by summer,Speculation on the impact of COVID-19 .,787,0
when covid end,Speculation on the impact of COVID-19 .,956,0
will covid die out,Speculation on the impact of COVID-19 .,237,0
can covid live on hair,How covid spread ?,129,8
do people who recovered from covid infection develop resistance against subsequent infections,How covid spread ?,548,8
are pets from a shelter safe to adopt,How covid spread ?,449,8
is it safe to do grocery shopping in costco amidst covid,How covid spread ?,650,8
can i go to the supermarket,How covid spread ?,613,8
can someone who has had covid spread the illness to others,How covid spread ?,479,8
can covid survive cold,How covid spread ?,480,8
is it possible to spread the covid after recovering from it,How covid spread ?,23,8
has anyone gotten covid twice (re infected),How covid spread ?,0,8
am i at risk for serious complications from covid if i smoke cigarettes,How covid spread ?,1038,8
why covid is contagious,How covid spread ?,717,8
after recovering from covid does a person have long term immunity to the virus,How covid spread ?,952,8
can i get covid from a package sent from china,How covid spread ?,194,8
can covid be transmitted through food,How covid spread ?,117,8
can covid live in the freezer,How covid spread ?,222,8
can household pets become infected with covid and then transmit it to other pets and human beings,How covid spread ?,628,8
why exposure risk of covid is very high for icu staff and what precautions should be taken,How covid spread ?,527,8
is covid seasonal,How covid spread ?,17,8
can covid spread through food,How covid spread ?,667,8
for whom does the covid pose a great threat,How covid spread ?,413,8
what is the proper capitalization for covid,Nomenclature about covid virus ?,920,13
what covid stands for,Nomenclature about covid virus ?,826,13
what is the acronym covid,Nomenclature about covid virus ?,655,13
why is covid called a novel virus,Nomenclature about covid virus ?,510,13
who covid pandemic,Nomenclature about covid virus ?,977,13
in covid what is the meaning of 19 here,Nomenclature about covid virus ?,1003,13
should covid be capitalized,Nomenclature about covid virus ?,156,13
should covid be all caps,Nomenclature about covid virus ?,928,13
what is covid disease 2019,Nomenclature about covid virus ?,191,13
what covid stand for,Nomenclature about covid virus ?,382,13
what is covid virus,Nomenclature about covid virus ?,915,13
why covid name,Nomenclature about covid virus ?,563,13
how covid got its name,Nomenclature about covid virus ?,144,13
what is covid stand for,Nomenclature about covid virus ?,558,13
what are covids,Nomenclature about covid virus ?,71,13
what will be the breaking point that will declare covid a pandemic,Nomenclature about covid virus ?,592,13
