0,1,idQ,idA
What causes the body to shiver in cold temperatures ?,Please provide some description .,1484,2
What was the filling in the first golf balls ?,Please provide some description .,878,2
What are some chemical properties of mendelevium ?,Please provide some description .,838,2
Why are so many umbrellas black ?,Please provide some description .,1884,2
What caused the Titanic to sink ?,Please provide some description .,1108,2
What does `` antidisestablishmentarianism '' mean ?,Please provide some description .,477,2
What is a horologist ?,Please provide some description .,2711,2
How do you get silly putty out of fabric ?,Please provide some description .,2515,2
How can I get a CCT diagram ?,Please provide some description .,1392,2
How did Bob Marley die ?,Please provide some description .,1087,2
How do boats float ?,Please provide some description .,424,2
How do I install a tile floor ?,Please provide some description .,2819,2
What was the outcome of the 1945 Yalta Conference ?,Please provide some description .,1415,2
Where did the term `` 69 '' come from ?,Please provide some description .,2077,2
What is the difference between a bachelor and a 1 bedroom apartment ?,Please provide some description .,1557,2
"What was the claim to fame of Explorer I , launched February 1 , 1958 ?",Please provide some description .,1321,2
What is white chocolate ?,Please provide some description .,1623,2
What is the origin of the word `` Teddy bear '' ?,Please provide some description .,1140,2
How can I find online spelling ?,Please provide some description .,2833,2
What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,Please provide some description .,2732,2
How does psorisis disappear ?,Please provide some description .,2572,2
What is a First World country ?,Please provide some description .,2315,2
How do hermit crabs reproduce ?,Please provide some description .,2597,2
What does idle mean ?,Please provide some description .,2733,2
How can you prevent it ?,Please provide some description .,2808,2
Why do magnets attract ?,Please provide some description .,2109,2
What is chromatology ?,Please provide some description .,2622,2
Why do people shake hands to show friendliness ?,Please provide some description .,251,2
What are the Twin Cities ?,Please provide some description .,1825,2
What makes you fat ?,Please provide some description .,630,2
How is plastic made ?,Please provide some description .,2825,2
Why does cotton get caught in belly buttons ?,Please provide some description .,404,2
What did n't Rocky Marciano do in his pro boxing career ?,Please provide some description .,693,2
What does an emperor do ?,Please provide some description .,1216,2
What 's a short ton ?,Please provide some description .,485,2
What 's the state motto of California ?,Please provide some description .,195,2
How does the car in `` Christine '' become possessed ?,Please provide some description .,1860,2
What is a storm surge ?,Please provide some description .,1764,2
How do you determine heating requirements for your home ?,Please provide some description .,691,2
What does `` Janelle '' mean ?,Please provide some description .,2230,2
What are Maid-Rites ?,Please provide some description .,1065,2
How can I transport files from one computer to another ?,Please provide some description .,2512,2
How can you tell when figs are ripe ?,Please provide some description .,2868,2
What is measured in curies ?,Please provide some description .,2843,2
Why do we call someone `` honey '' ?,Please provide some description .,1402,2
What is the chemiosmotic theory ?,Please provide some description .,1784,2
What is a neurosurgeon ?,Please provide some description .,1791,2
What is Boston Kreme ?,Please provide some description .,2716,2
What does storm wave mean in Japanese ?,Please provide some description .,2449,2
What is the origin of the proverb `` A stitch in time saves nine '' ?,Please provide some description .,628,2
What was a Mae West on a World War II battleship ?,Please provide some description .,946,2
How can someone become a federal agent ?,Please provide some description .,598,2
What is the history of the hairdryer ?,Please provide some description .,1025,2
What exactly is the purpose of the anteater ?,Please provide some description .,177,2
What are bear and bull markets ?,Please provide some description .,1849,2
What motto ended Merrie Melodies cartoons ?,Please provide some description .,1966,2
How do you find out what is allowed to claim as a contibution for income tax purposes ?,Please provide some description .,548,2
What does N est-ce pas mean ?,Please provide some description .,2337,2
What does `` E Pluribus Unum '' on the penny mean ?,Please provide some description .,1638,2
What is osmosis ?,Please provide some description .,845,2
How do companies cut paper so thin ?,Please provide some description .,2721,2
What is a Jellicle Cat ?,Please provide some description .,656,2
What was the reason for the partition of the Anglican and Vatican churches ?,Please provide some description .,2536,2
What are tannins ?,Please provide some description .,59,2
How can I find out what year a Beanie Baby was introduced ?,Please provide some description .,1809,2
Why do recipe books recommend starting with cold water when you boil something ?,Please provide some description .,852,2
How successful is arometherapy ?,Please provide some description .,2058,2
What are the benefits of home school ?,Please provide some description .,1330,2
How did Rocky Marciano die ?,Please provide some description .,236,2
How do you ask questions ?,Please provide some description .,1305,2
How does a hurricane form ?,Please provide some description .,2781,2
How do you address a Chinese person ?,Please provide some description .,2589,2
What happened to Moon Maiden ?,Please provide some description .,2884,2
Why do men snore ?,Please provide some description .,809,2
How do I stop background noise in a car stereo ?,Please provide some description .,2234,2
What revelation did Alexander Butterfield make to the Senate Watergate committee ?,Please provide some description .,1405,2
What 's the meaning of UOL ?,Please provide some description .,2548,2
Why do roosters sing at five o 'clock in the morning ?,Please provide some description .,1692,2
What are amphibians ?,Please provide some description .,2666,2
What is ` Last Chance for Animals ' ?,Please provide some description .,173,2
What is the largest variety of cactus ?,Please provide some description .,1070,2
What is the definition of the Scrabble word ` syzygy ' ?,Please provide some description .,498,2
What is a philanthropist ?,Please provide some description .,934,2
What did Lenny Bruce say that got him arrested ?,Please provide some description .,2639,2
What is a Mexican hairless ?,Please provide some description .,789,2
What caused the division between the Anglicans and the Vatican ?,Please provide some description .,1449,2
What did Mighty Mouse always sing as he went into action ?,Please provide some description .,208,2
Shea and Gould closed their Los Angeles office for what reason ?,Please provide some description .,441,2
What is a stratocaster ?,Please provide some description .,2437,2
What are chloroplasts ?,Please provide some description .,2103,2
What does the Latin ante mortem mean ?,Please provide some description .,2097,2
What does appropriates money mean ?,Please provide some description .,298,2
What exactly is radiation ?,Please provide some description .,990,2
Where did the term `` 86 '' come from ?,Please provide some description .,1529,2
How do you find oxidation numbers ?,Please provide some description .,2750,2
What is a meerkat ?,Please provide some description .,494,2
Where do chihuahuas come from ?,Please provide some description .,398,2
What does the name `` Sheri '' mean ?,Please provide some description .,622,2
Why can 't women serve in the Navy on board submarines ?,Please provide some description .,850,2
