0,1,idQ,idA
will covid stay and last forever,Speculation on the impact of COVID-19 .,152,2
will covid ever go away,Speculation on the impact of COVID-19 .,207,2
was covid predicted,Speculation on the impact of COVID-19 .,190,2
when covid will be over,Speculation on the impact of COVID-19 .,232,2
will covid be gone this year,Speculation on the impact of COVID-19 .,114,2
when will the covid virus end,Speculation on the impact of COVID-19 .,169,2
will covid be a problem next year,Speculation on the impact of COVID-19 .,352,2
will all jobs come back fast once the covid pandemic is over,Speculation on the impact of COVID-19 .,304,2
how long will we have to keep social distancing,Speculation on the impact of COVID-19 .,350,2
will covid end soon,Speculation on the impact of COVID-19 .,436,2
will covid come back,Speculation on the impact of COVID-19 .,265,2
will covid go away in spring,Speculation on the impact of COVID-19 .,131,2
when will covid end and covid 20 start,Speculation on the impact of COVID-19 .,363,2
will there be a second wave of the covid infection,Speculation on the impact of COVID-19 .,282,2
is covid likely to be at pandemic proportions for two years,Speculation on the impact of COVID-19 .,310,2
what is the official end date to covid,Speculation on the impact of COVID-19 .,296,2
what would happen if we just let covid run its course and not practice social distancing,Speculation on the impact of COVID-19 .,434,2
will covid be gone by summer,Speculation on the impact of COVID-19 .,425,2
when covid end,Speculation on the impact of COVID-19 .,270,2
will covid die out,Speculation on the impact of COVID-19 .,377,2
can covid live on hair,How covid spread ?,137,0
do people who recovered from covid infection develop resistance against subsequent infections,How covid spread ?,276,0
are pets from a shelter safe to adopt,How covid spread ?,28,0
is it safe to do grocery shopping in costco amidst covid,How covid spread ?,178,0
can i go to the supermarket,How covid spread ?,328,0
can someone who has had covid spread the illness to others,How covid spread ?,496,0
can covid survive cold,How covid spread ?,91,0
is it possible to spread the covid after recovering from it,How covid spread ?,281,0
has anyone gotten covid twice (re infected),How covid spread ?,198,0
am i at risk for serious complications from covid if i smoke cigarettes,How covid spread ?,220,0
why covid is contagious,How covid spread ?,404,0
after recovering from covid does a person have long term immunity to the virus,How covid spread ?,458,0
can i get covid from a package sent from china,How covid spread ?,129,0
can covid be transmitted through food,How covid spread ?,427,0
can covid live in the freezer,How covid spread ?,291,0
can household pets become infected with covid and then transmit it to other pets and human beings,How covid spread ?,52,0
why exposure risk of covid is very high for icu staff and what precautions should be taken,How covid spread ?,463,0
is covid seasonal,How covid spread ?,116,0
can covid spread through food,How covid spread ?,74,0
for whom does the covid pose a great threat,How covid spread ?,38,0
what is the proper capitalization for covid,Nomenclature about covid virus ?,49,8
what covid stands for,Nomenclature about covid virus ?,355,8
what is the acronym covid,Nomenclature about covid virus ?,439,8
why is covid called a novel virus,Nomenclature about covid virus ?,399,8
who covid pandemic,Nomenclature about covid virus ?,12,8
in covid what is the meaning of 19 here,Nomenclature about covid virus ?,183,8
should covid be capitalized,Nomenclature about covid virus ?,469,8
should covid be all caps,Nomenclature about covid virus ?,155,8
what is covid disease 2019,Nomenclature about covid virus ?,118,8
what covid stand for,Nomenclature about covid virus ?,227,8
what is covid virus,Nomenclature about covid virus ?,300,8
why covid name,Nomenclature about covid virus ?,341,8
how covid got its name,Nomenclature about covid virus ?,177,8
what is covid stand for,Nomenclature about covid virus ?,330,8
what are covids,Nomenclature about covid virus ?,164,8
what will be the breaking point that will declare covid a pandemic,Nomenclature about covid virus ?,237,8
what is the genus of the sars covid,Nomenclature about covid virus ?,397,8
where does the word covid come from,Nomenclature about covid virus ?,180,8
shouldnt covid be declared as a pandemic,Nomenclature about covid virus ?,255,8
why covid called covid,Nomenclature about covid virus ?,40,8
have covid deaths peaked,Tell me some report of covid virus .,524,1
did covid peak,Tell me some report of covid virus .,287,1
why are the world politicians underestimating covid,Tell me some report of covid virus .,267,1
is the media hiding what is really going on in us hospitals amidst covid,Tell me some report of covid virus .,299,1
what are some rumors related to covid,Tell me some report of covid virus .,510,1
who covid mortality rate,Tell me some report of covid virus .,117,1
are covid cases going down,Tell me some report of covid virus .,166,1
are covid cases decreasing,Tell me some report of covid virus .,61,1
do you think the statistics on covid cases are underestimated,Tell me some report of covid virus .,499,1
are covid numbers going down,Tell me some report of covid virus .,85,1
is it true that covid is steadily declining,Tell me some report of covid virus .,176,1
do you think they will make a movie about covid,Tell me some report of covid virus .,519,1
can we expect new movies after covid,Tell me some report of covid virus .,307,1
what is the number of victims worldwide due to covid,Tell me some report of covid virus .,244,1
when was the first case of covid identified,Tell me some report of covid virus .,32,1
which covid model is best,Tell me some report of covid virus .,428,1
can someone contract covid and not die,Tell me some report of covid virus .,324,1
how effective is the measure of social distancing in the fight against covid,Tell me some report of covid virus .,13,1
does china give correct information to other countries on covid,Tell me some report of covid virus .,274,1
where and when was covid first identified,Tell me some report of covid virus .,64,1
what are the safety measures taken globally to prevent covid,Some response from the societies,204,3
are you panicking over the covid,Some response from the societies,400,3
why does the usa have more confirmed covid cases than china,Some response from the societies,340,3
since covid came out has it scared you,Some response from the societies,447,3
is trump managing well on covid,Some response from the societies,390,3
what is china doing to stop the spread of covid,Some response from the societies,97,3
why are people more concerned with going back to work than staying home until the covid virus improves,Some response from the societies,29,3
is covid a hoax,Some response from the societies,509,3
how scared are you about covid,Some response from the societies,360,3
is the fear around the covid overblown justified or too early to say,Some response from the societies,485,3
what is cdc doing about covid,Some response from the societies,209,3
what are the various steps countries are taking to contain the covid,Some response from the societies,159,3
how concerned are you about the covid that causes covid,Some response from the societies,264,3
why is the usa so ill equipped to deal with covid when its supposedly the most advanced nation on earth,Some response from the societies,206,3
what do you think of trumps idea to inject disinfectant into your body as a cure for covid,Some response from the societies,366,3
why has trump stated that injecting disinfectant will kill covid in a minute,Some response from the societies,239,3
what should health care providers laboratories and health departments do,Some response from the societies,359,3
is covid that bad,Some response from the societies,200,3
why is the us so far behind other countries with testing,Some response from the societies,461,3
do you think the covid outbreak is really serious,Some response from the societies,54,3
what are you now avoiding as a result of the covid outbreak,How is the covid affect societies ?,147,12
how is the new covid disease going to affect the world,How is the covid affect societies ?,272,12
how has covid affected your job or career so far,How is the covid affect societies ?,424,12
how has covid impacted you so far,How is the covid affect societies ?,536,12
how can i prepare in case my childs school child care facility or university is dismissed,How is the covid affect societies ?,376,12
